PN,4,,,6.3,,,8,,,10,,,12.5,,,16,,,20,,,25,,,PN
SDR,41,,,26,,,21,,,17,,,13.6,,,11,,,9,,,7.4,,,SDR
Outer Diameter (mm),Min Wall Thickness (mm),Mean ID (mm),Weight  Avg (kg/m),Min Wall Thickness (mm),Mean ID (mm),Weight  Avg (kg/m),Min Wall Thickness (mm),Mean ID (mm),Weight  Avg (kg/m),Min Wall Thickness (mm),Mean ID (mm),Weight  Avg (kg/m),Min Wall Thickness (mm),Mean ID (mm),Weight  Avg (kg/m),Min Wall Thickness (mm),Mean ID (mm),Weight  Avg (kg/m),Min Wall Thickness (mm),Mean ID (mm),Weight  Avg (kg/m),Min Wall Thickness (mm),Mean ID (mm),Weight  Avg (kg/m),Outer Diameter (mm)
16,,,,,,,,,,,,,,,,1.6,12.7,0.08,1.8,12.3,0.08,2.2,11.4,0.1,16
20,,,,,,,,,,,,,1.6,16.7,0.1,1.9,16,0.11,2.3,15.2,0.13,2.8,14.2,0.16,20
25,,,,,,,,,1.6,,21.7,0.12,1.9,21,0.14,2.3,20.2,0.17,2.8,19.2,0.2,3.5,17.7,0.24,25
32,,,,,,1.6,,28.7,0.16,1.9,28,0.19,2.4,27,0.23,2.9,26,0.27,3.6,24.5,0.33,4.4,22.8,0.39,32
40,,,,,,1.9,,36.1,0.24,2.4,35,0.3,3,33.8,0.36,3.7,32.3,0.43,4.5,30.6,0.52,5.5,28.5,0.61,40
50,,,,,,2.4,,45,0.38,3,43.9,0.46,3.7,42.4,0.55,4.6,40.4,0.67,5.6,38.4,0.8,6.9,35.7,0.95,50
63,,,2.4,,58.1,0.48,3,56.9,0.58,3.8,55.2,0.73,4.7,53.3,0.88,5.8,51,1.07,7.1,48.2,1.28,8.6,45.1,1.5,63
75,,,2.9,,69.2,0.68,3.6,67.7,0.83,4.5,65.8,1.03,5.5,63.7,1.23,6.8,61,1.49,8.4,57.6,1.79,10.3,53.6,2.13,75
90,,,3.5,,83,0.99,4.3,81.3,1.2,5.4,79,1.48,6.6,76.5,1.77,8.2,73,2.16,10.1,69.1,2.59,12.3,64.5,3.05,90
110,2.7,104.7,0.95,4.3,101.3,1.48,5.3,99.2,1.8,6.6,96.5,2.2,8.1,93.3,2.66,10,89.4,3.2,12.3,84.5,3.84,15.1,78.6,4.57,110
125,3.1,118.9,1.24,4.8,115.4,1.86,6,112.9,2.3,7.4,109.9,2.8,9.2,106.1,3.42,11.4,101.5,4.15,14,96.1,4.96,17.1,89.5,5.88,125
140,3.5,133.2,1.56,5.4,129.2,2.35,6.7,126.5,2.87,8.3,123,3.52,10.3,118.9,4.29,12.7,113.9,5.17,15.7,107.6,6.23,19.2,100.2,7.39,140
160,4,152.3,2.02,6.2,147.6,3.08,7.7,144.5,3.77,9.5,140.7,4.59,11.8,135.9,5.6,14.6,130,6.78,17.9,123,8.11,21.9,114.7,9.62,160
180,4.4,171.5,2.51,6.9,166.3,3.84,8.6,163.1,4.74,10.7,158.3,5.81,13.3,152.8,7.1,16.4,146.3,8.58,20.1,138.5,10.26,24.6,129.1,12.16,180
200,4.9,190.5,3.08,7.7,184.6,4.76,9.6,180.6,5.87,11.9,175.8,7.16,14.7,170,8.71,18.2,162.5,10.57,22.4,153.7,12.68,27.3,143.4,15,200
225,5.5,214.4,3.9,8.6,207.9,5.98,10.8,203.3,7.42,13.4,197.8,9.09,16.6,191,11.06,20.5,182.9,13.39,25.1,173.2,16,30.8,161.3,19.02,225
250,6.2,238,4.89,9.6,230.9,7.41,11.9,226,9.08,14.8,220,11.14,18.4,212.4,13.63,22.7,203.4,16.46,27.9,192.5,19.73,34.2,179.2,23.48,250
280,6.9,266.7,6.06,10.7,258.7,9.25,13.4,253,11.46,16.6,246.3,13.99,20.6,237.9,17.08,25.4,227.8,20.64,31.3,215.4,24.8,38.3,200.7,29.44,280
